major,gender,attendance,homework_completion,lib_borrow,club_participation,class_interaction,exam_score,gpa
环境学院,1,26,0.872914848705479,7,0,7,92,2.9504690736437436
生命科学学院,1,29,0.6541449847041031,2,1,18,78,2.580575985880627
历史学院,1,24,0.6571551736769069,2,1,3,89,1.9839035474835724
马克思主义学院,0,26,0.9021368061736535,0,0,8,73,2.511802895596791
体育与运动学院,1,21,0.8885073173941669,2,1,2,73,1.9015613758386944
政府管理学院,1,28,0.7512123067497242,6,0,4,95,2.640709406000347
环境学院,0,27,0.630968905333136,9,0,15,66,1.8663858740253474
统计学院,1,24,0.6048392086793809,7,1,7,93,2.4332198745767424
马克思主义学院,1,21,0.715262779784698,7,0,5,91,2.485972524916546
马克思主义学院,0,25,0.6036889094348907,2,1,2,92,2.3337654731036226
政府管理学院,1,27,0.6920290484414814,4,0,15,73,2.332988061534059
法学院,0,26,0.7678002960845354,0,0,7,84,2.300219499636169
体育与运动学院,1,27,0.6485663061247816,8,0,12,87,2.633221124491432
物理与天文学院,0,23,0.6417111031326185,7,1,4,98,2.3421097463768494
艺术与传媒学院,0,22,0.9585749742874946,9,0,5,89,2.9414484435006503
政府管理学院,1,26,0.8341880116091557,1,0,2,90,2.3956521487249174
文学院,0,21,0.9737822747051126,9,1,7,83,2.7912892091373585
社会学院,0,24,0.7383304655142717,0,1,3,63,1.3433400136386189
心理学部,1,26,0.8708579749316652,3,0,16,73,2.427778568217938
文学院,1,20,0.6818766698487162,8,1,7,68,1.124988135334671
政府管理学院,0,23,0.8473361269119765,7,0,18,95,3.350650862151523
人工智能学院,1,21,0.6518342920039938,2,0,13,65,1.60047905963548
社会学院,0,25,0.6008322556705142,9,0,8,83,2.210680642025092
艺术与传媒学院,0,31,0.9726127205638316,5,0,11,85,3.662250274683968
社会学院,1,20,0.8219577504700837,8,0,12,93,2.6534182136161473
化学学院,1,26,0.9707762651128158,9,0,7,60,2.3169718536297714
经济与工商管理学院,0,22,0.7335326094808288,7,1,2,82,1.6878070612728122
数学科学学院,1,31,0.7311144276647027,9,0,14,76,2.5911036095902333
历史学院,1,20,0.7602620007092127,4,0,19,95,2.8738074293349705
历史学院,0,27,0.8824163935832673,8,1,18,96,3.7197066437744395
统计学院,0,26,0.8263234536744697,8,0,3,79,2.8548055124312977
社会学院,0,21,0.9701419628396472,2,0,1,85,2.4840781937777865
生命科学学院,0,26,0.6101763604529757,7,0,4,70,1.103400867916679
物理与天文学院,0,22,0.8832783751890145,3,0,1,79,1.7043580378509133
教育学部,0,28,0.7321310757466217,9,1,6,60,1.7340367978353595
统计学院,1,27,0.6720934607273844,6,0,10,72,2.0554362373273993
环境学院,0,24,0.8041582490080396,9,1,11,95,3.1157688947549995
政府管理学院,1,26,0.8020255136719984,7,1,3,97,3.289453623464852
哲学学院,1,22,0.6548044114753714,6,1,2,72,1.2005764123852414
环境学院,0,20,0.680758422453156,4,0,7,73,1.7063032127105096
地理科学学部,1,20,0.763265865960622,0,0,17,71,2.195317322240231
法学院,0,30,0.7635245649569261,7,1,4,93,3.4380315613724344
新闻传播学院,1,21,0.7270232558478739,4,1,15,86,3.106325957953266
地理科学学部,0,27,0.6594180606039923,2,0,11,71,2.0219222643081745
哲学学院,0,20,0.6017494716403918,1,0,8,97,2.1781680449868768
政府管理学院,0,30,0.9880940249712082,2,0,7,95,3.6142677381605126
文学院,0,31,0.9773996918815708,8,0,4,60,2.4239939459888333
生命科学学院,1,24,0.793460151670454,1,0,19,85,2.5842301041879416
历史学院,1,28,0.9980207013100023,9,1,18,99,4.0
环境学院,1,31,0.8694617323128973,0,1,14,99,3.9791830760005715
社会学院,1,28,0.6275430150430166,1,1,19,80,2.8797429353434376
体育与运动学院,1,21,0.6470872796330509,1,0,10,91,2.5097585870807535
历史学院,0,26,0.9664443375478551,4,1,19,84,3.5490954620676147
物理与天文学院,0,30,0.8520208808598513,0,0,12,71,2.570107498736483
新闻传播学院,0,20,0.9372734506629404,9,1,12,84,2.927098845975434
化学学院,0,22,0.9593078598535377,7,0,16,85,3.6686870366169755
法学院,0,25,0.7791768045129545,1,1,15,95,3.1128252643306453
地理科学学部,1,28,0.6194103806306772,5,1,16,75,2.2146854488123364
体育与运动学院,0,29,0.6753121395589288,4,0,18,73,2.4749179585080787
法学院,0,21,0.626628778920974,1,0,13,93,2.3068895272076864
文学院,1,26,0.6754959382794029,9,1,6,83,2.312947554535814
心理学部,1,23,0.7642131705823507,0,1,8,67,1.8175465878958568
艺术与传媒学院,0,21,0.6472787242059942,5,0,1,86,1.723182733763046
经济与工商管理学院,0,22,0.6666932991221373,5,0,18,98,2.971950841933606
法学院,1,25,0.7783287128286717,2,0,5,72,1.6866840067208855
艺术与传媒学院,0,29,0.7360683801553958,7,1,0,88,2.34652388580127
地理科学学部,0,28,0.7870632496752163,8,1,6,90,2.5463166872492424
社会学院,0,27,0.7716688111036248,2,0,15,78,2.8035387622684693
文学院,1,29,0.8577912103919534,8,1,1,69,2.2584692228149392
经济与工商管理学院,0,30,0.9748758195503417,7,0,3,99,3.9193544742775535
法学院,0,28,0.6431457353776969,4,1,19,93,3.2925786116713014
新闻传播学院,1,23,0.6397040597236779,5,0,13,60,1.1155324390539094
数学科学学院,1,31,0.9411224444363608,0,0,10,78,2.9667634078618548
历史学院,1,23,0.8025586818609837,4,1,8,60,1.6308489790595695
体育与运动学院,0,28,0.9065620094273769,9,0,4,83,3.003333134100448
新闻传播学院,1,27,0.6861687614429126,9,0,2,84,2.550570964620345
体育与运动学院,0,31,0.9315450292670207,6,1,19,63,2.7904340494356314
政府管理学院,1,21,0.9695386496770784,0,1,1,83,2.4057958801028736
数学科学学院,0,27,0.8541932062185953,9,1,9,98,3.4953879866628386
外国语言文学学院,1,20,0.6423516085895209,8,1,9,79,2.43017793056747
地理科学学部,0,28,0.9581179256625355,6,0,6,92,3.50325983005584
历史学院,0,28,0.9169950909480286,3,0,14,87,3.2964842658705704
政府管理学院,1,27,0.900351110605796,3,0,4,94,3.288311874167527
外国语言文学学院,1,30,0.6146912755623662,9,0,7,83,2.3261581548479797
哲学学院,0,24,0.9195850101027885,6,0,17,99,3.9755842354864455
历史学院,1,24,0.6551804041873428,5,1,19,61,1.8153058738444465
外国语言文学学院,0,22,0.6889544704787554,2,1,5,82,1.8788875220415844
人工智能学院,1,24,0.830853933947703,8,0,10,92,3.3234055429664724
环境学院,1,23,0.7059923091667533,5,1,7,73,1.7401883205340163
哲学学院,0,20,0.8645392825247679,1,1,3,74,1.1698329737687083
人工智能学院,1,28,0.8432281790796327,9,1,6,91,2.991436589298918
社会学院,1,29,0.643259839205305,1,1,1,82,2.1663501544853534
体育与运动学院,0,23,0.8624058318366026,0,1,14,63,2.351623316174779
马克思主义学院,0,22,0.969581963929972,4,0,8,79,2.4712830345325405
统计学院,1,25,0.6644439620743332,9,1,18,90,2.7899486580063773
化学学院,0,20,0.838824808377155,5,0,18,66,2.1431400784231354
体育与运动学院,1,24,0.7367461487746776,2,0,4,60,1.362664509023707
物理与天文学院,1,26,0.7838446687094416,3,0,18,64,2.221350334201001
物理与天文学院,0,21,0.714800071631588,4,0,2,73,1.00761369104706
人工智能学院,0,29,0.7416522545390781,3,0,11,89,2.998153357870825
教育学部,0,28,0.6115647293066229,8,1,6,97,2.9619163440327365
经济与工商管理学院,0,31,0.9926206951668882,2,0,4,82,3.289704020725102
环境学院,0,25,0.8499199688290993,4,0,11,66,1.7220473840428745
哲学学院,0,21,0.8002822361975541,6,0,3,98,2.883265336703074
环境学院,1,27,0.7534861398001307,6,1,19,75,2.873549448442815
哲学学院,1,27,0.815749823529611,5,1,18,68,2.5209106777110306
体育与运动学院,0,20,0.7520423994863216,8,1,12,98,2.7141454152688236
社会学院,1,31,0.7439631709974693,6,1,14,93,3.0574281292434646
文学院,1,20,0.7855786166888052,3,0,9,90,2.327881866556285
人工智能学院,1,20,0.7103932134684763,9,0,0,66,1.0
数学科学学院,1,31,0.6720199599867142,8,0,2,61,1.4533632400265903
教育学部,0,23,0.8226423592721174,5,0,17,65,2.5553195668884534
物理与天文学院,1,23,0.9371061744601205,0,0,15,93,3.317267200074871
社会学院,1,27,0.6611312710903569,8,1,11,76,1.9939777745611105
体育与运动学院,0,20,0.6130937362416874,6,0,15,85,2.051621853598438
艺术与传媒学院,0,29,0.6987246980616144,5,1,10,71,2.238407184248611
物理与天文学院,0,22,0.9918882573815243,5,0,10,79,2.6497964489817023
人工智能学院,0,30,0.9315032294973358,3,1,13,94,3.7210428405500924
物理与天文学院,1,20,0.8383464214114387,3,1,16,94,3.392125146923637
教育学部,0,28,0.9716995660972544,2,1,18,88,3.8727619657819403
历史学院,1,29,0.7781116467348979,7,0,10,97,3.232095530770244
新闻传播学院,1,31,0.9933122410300695,7,1,3,90,3.2245231495148383
物理与天文学院,0,28,0.7185208180477136,1,0,9,99,3.380742835530234
人工智能学院,0,26,0.6961222998063756,4,0,18,72,2.231788455975002
教育学部,0,31,0.8552192804588044,8,1,3,85,3.3988888744774934
新闻传播学院,0,27,0.7512615871801441,8,1,10,81,2.986580778786509
环境学院,0,20,0.8505462167905031,6,1,6,67,1.7650066575991727
哲学学院,0,24,0.7219982073210743,3,1,19,99,3.1615973171642318
历史学院,1,21,0.8471673027351965,3,0,8,66,1.755186656942104
历史学院,1,20,0.7102985042340145,9,0,1,64,1.3747386466685716
经济与工商管理学院,1,22,0.620388827527556,6,0,0,60,1.0
外国语言文学学院,1,26,0.9648543607692733,2,1,7,99,3.219219458151041
统计学院,0,20,0.9532820807493849,2,1,18,70,2.5189732909174563
环境学院,0,30,0.9883192597090688,4,1,15,91,3.9834189511605587
化学学院,1,21,0.8866108704885618,5,1,13,66,2.300334767072579
生命科学学院,1,21,0.8730884710941211,7,0,3,88,2.512588368163735
法学院,1,23,0.8236012280299323,0,0,18,89,2.9563436597441672
教育学部,0,31,0.6503769665410091,6,0,5,80,2.189060565246169
环境学院,0,22,0.675694124379708,7,1,14,98,2.9307650440623303
外国语言文学学院,0,22,0.7157878754690145,4,1,12,98,2.960092036514093
历史学院,1,29,0.9560625450293577,9,1,18,79,3.6832726189804204
马克思主义学院,1,24,0.66918780984123,1,1,3,81,1.698783942318954
法学院,0,22,0.9691492697951563,3,1,1,88,2.447959382107415
外国语言文学学院,0,30,0.8091142932205668,5,0,2,63,2.0015609913728345
环境学院,1,26,0.8862278541892288,8,1,13,62,2.4567436330433496
统计学院,1,24,0.6440977946722266,1,0,3,68,1.29711448832385
艺术与传媒学院,0,23,0.7076134195103644,3,1,15,64,1.6761935040706333
文学院,1,31,0.9834074432725706,9,0,10,62,2.702125015724099
经济与工商管理学院,0,22,0.7064599787718926,4,1,12,84,2.2391122179074197
外国语言文学学院,0,31,0.7186086881564584,7,1,0,91,2.903966029501386
政府管理学院,1,23,0.6790389539364318,7,0,12,92,2.49265417926219
心理学部,1,31,0.6516294661227318,1,1,14,77,2.254015613309208
社会学院,1,21,0.6933030565815992,5,1,6,95,2.4594154093418426
社会学院,0,20,0.8569307567803193,5,1,4,88,2.2124821469312144
生命科学学院,1,22,0.7821470934014254,4,0,5,98,2.9814300180875013
马克思主义学院,1,30,0.8215023345351594,7,1,8,61,1.8363550219850695
环境学院,0,21,0.6489459315064097,9,1,5,70,1.43240127319993
人工智能学院,0,20,0.9208465788651601,1,1,5,90,2.5262595253860143
人工智能学院,1,20,0.9136378802319391,1,1,1,63,1.4528097139429756
生命科学学院,0,21,0.6086359644570701,6,1,5,88,1.7947089109485794
外国语言文学学院,0,28,0.753406037804122,8,0,9,62,1.9665992456902697
哲学学院,0,24,0.6275082407884591,2,0,4,61,1.0
物理与天文学院,1,28,0.9168423117659832,6,0,19,95,3.7828084537748583
环境学院,1,27,0.8949078732502818,2,0,11,73,2.5006359515048224
心理学部,0,30,0.9607952377172624,5,1,5,63,2.3096602798564425
体育与运动学院,0,25,0.6945615835812459,2,1,5,89,2.230837324626989
哲学学院,0,20,0.7825183532511195,0,0,7,78,1.7623330959980599
教育学部,1,29,0.673795150865759,5,0,16,78,2.890962968101557
人工智能学院,0,24,0.7484939737896478,2,0,17,90,3.0191496460260066
统计学院,0,31,0.8088973006267536,0,0,10,74,2.506652782073232
经济与工商管理学院,1,20,0.6213323159354356,4,0,0,88,1.7916924019420597
社会学院,0,26,0.8859481642709541,7,1,6,62,1.744404566800951
历史学院,1,29,0.81731734414843,7,0,7,78,3.0026126875768657
艺术与传媒学院,1,30,0.9315836068842693,7,1,2,81,2.4977084732344443
哲学学院,1,27,0.7087122004764789,2,1,18,79,2.9486354402825015
生命科学学院,0,27,0.9613284421077017,7,0,15,66,2.466947733746633
化学学院,0,26,0.9994777012121774,3,1,7,63,2.25436789203889
化学学院,1,21,0.9677193753510698,7,1,5,60,1.7232296313631992
